0x0061,26,-32,	0x00e0,23,-32,	0x00f8,7,-32,	0x00ff,1,121,	0x0101,1,-1,	0x0103,1,-1,	0x0105,1,-1,	0x0107,1,-1,	
0x0109,1,-1,	0x010b,1,-1,	0x010d,1,-1,	0x010f,1,-1,	0x0111,1,-1,	0x0113,1,-1,	0x0115,1,-1,	0x0117,1,-1,	
0x0119,1,-1,	0x011b,1,-1,	0x011d,1,-1,	0x011f,1,-1,	0x0121,1,-1,	0x0123,1,-1,	0x0125,1,-1,	0x0127,1,-1,	
0x0129,1,-1,	0x012b,1,-1,	0x012d,1,-1,	0x012f,1,-1,	0x0131,1,-232,	0x0133,1,-1,	0x0135,1,-1,	0x0137,1,-1,	
0x013a,1,-1,	0x013c,1,-1,	0x013e,1,-1,	0x0140,1,-1,	0x0142,1,-1,	0x0144,1,-1,	0x0146,1,-1,	0x0148,1,-1,	
0x014b,1,-1,	0x014d,1,-1,	0x014f,1,-1,	0x0151,1,-1,	0x0153,1,-1,	0x0155,1,-1,	0x0157,1,-1,	0x0159,1,-1,	
0x015b,1,-1,	0x015d,1,-1,	0x015f,1,-1,	0x0161,1,-1,	0x0163,1,-1,	0x0165,1,-1,	0x0167,1,-1,	0x0169,1,-1,	
0x016b,1,-1,	0x016d,1,-1,	0x016f,1,-1,	0x0171,1,-1,	0x0173,1,-1,	0x0175,1,-1,	0x0177,1,-1,	0x017a,1,-1,	
0x017c,1,-1,	0x017e,1,-1,	0x0183,1,-1,	0x0185,1,-1,	0x0188,1,-1,	0x018c,1,-1,	0x0192,1,-1,	0x0199,1,-1,	
0x01a1,1,-1,	0x01a3,1,-1,	0x01a5,1,-1,	0x01a8,1,-1,	0x01ad,1,-1,	0x01b0,1,-1,	0x01b4,1,-1,	0x01b6,1,-1,	
0x01b9,1,-1,	0x01bd,1,-1,	0x01c6,1,-2,	0x01c9,1,-2,	0x01cc,1,-2,	0x01ce,1,-1,	0x01d0,1,-1,	0x01d2,1,-1,	
0x01d4,1,-1,	0x01d6,1,-1,	0x01d8,1,-1,	0x01da,1,-1,	0x01dc,1,-1,	0x01df,1,-1,	0x01e1,1,-1,	0x01e3,1,-1,	
0x01e5,1,-1,	0x01e7,1,-1,	0x01e9,1,-1,	0x01eb,1,-1,	0x01ed,1,-1,	0x01ef,1,-1,	0x01f3,1,-2,	0x01f5,1,-1,	
0x01fb,1,-1,	0x01fd,1,-1,	0x01ff,1,-1,	0x0201,1,-1,	0x0203,1,-1,	0x0205,1,-1,	0x0207,1,-1,	0x0209,1,-1,	
0x020b,1,-1,	0x020d,1,-1,	0x020f,1,-1,	0x0211,1,-1,	0x0213,1,-1,	0x0215,1,-1,	0x0217,1,-1,	0x0253,1,-210,	
0x0254,1,-206,	0x0257,1,-205,	0x0258,2,-202,	0x025b,1,-203,	0x0260,1,-205,	0x0263,1,-207,	0x0268,1,-209,	0x0269,1,-211,	
0x026f,1,-211,	0x0272,1,-213,	0x0275,1,-214,	0x0283,1,-218,	0x0288,1,-218,	0x028a,2,-217,	0x0292,1,-219,	0x03ac,1,-38,	
0x03ad,3,-37,	0x03b1,17,-32,	0x03c3,9,-32,	0x03cc,1,-64,	0x03cd,2,-63,	0x03e3,1,-1,	0x03e5,1,-1,	0x03e7,1,-1,	
0x03e9,1,-1,	0x03eb,1,-1,	0x03ed,1,-1,	0x03ef,1,-1,	0x0430,32,-32,	0x0451,12,-80,	0x045e,2,-80,	0x0461,1,-1,	
0x0463,1,-1,	0x0465,1,-1,	0x0467,1,-1,	0x0469,1,-1,	0x046b,1,-1,	0x046d,1,-1,	0x046f,1,-1,	0x0471,1,-1,	
0x0473,1,-1,	0x0475,1,-1,	0x0477,1,-1,	0x0479,1,-1,	0x047b,1,-1,	0x047d,1,-1,	0x047f,1,-1,	0x0481,1,-1,	
